사용자 ID,가입 날짜,유입 경로,방문 날짜,페이지 방문 순서,장바구니 담기,결제 완료,결제 방식,디바이스 정보,마지막 방문 날짜
1004,2024-03-22,Naver Search,2024-05-17,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 주문 확인 > 결제,Yes,Yes,카카오페이,Mobile,2024-07-30
1004,2024-03-22,Tistory Blog,2024-06-14,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-30
1004,2024-03-22,Facebook Ads,2024-07-30,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-30
1005,2024-01-02,Instagram Ads,2024-01-24,홈 > 검색 > 제품 상세 > 장바구니,Yes,No,-,Tablet,2024-07-31
1005,2024-01-02,Naver Shopping,2024-07-31,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-31
1006,2024-01-23,Coupang Ads,2024-02-22,홈 > 카테고리 > 제품 목록 > 제품 상세 > 상품 상세 > 주문 확인 > 결제,Yes,Yes,토스,Desktop,2024-07-29
1006,2024-01-23,Naver Shopping,2024-07-29,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니,Yes,No,-,Desktop,2024-07-29
1007,2024-03-08,Google Search,2024-03-28,홈 > 검색 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-27
1007,2024-03-08,Instagram Ads,2024-07-17,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,신용카드,Mobile,2024-07-27
1007,2024-03-08,Tistory Blog,2024-07-27,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Tablet,2024-07-27
1008,2024-03-13,Coupang Ads,2024-03-16,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰,No,No,-,Mobile,2024-07-23
1008,2024-03-13,Facebook Ads,2024-04-02,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니,Yes,No,-,Mobile,2024-07-23
1008,2024-03-13,Tistory Blog,2024-07-23,홈 > 카테고리 > 제품 목록,No,No,-,Mobile,2024-07-23
1009,2024-03-07,KakaoTalk Ads,2024-03-11,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,카카오페이,Mobile,2024-07-30
1009,2024-03-07,Coupang Ads,2024-04-09,홈 > 카테고리,No,No,-,Mobile,2024-07-30
1009,2024-03-07,YouTube Ads,2024-05-09,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,네이버페이,Mobile,2024-07-30
1009,2024-03-07,Facebook Ads,2024-06-06,홈 > 카테고리 > 제품 목록 > 제품 상세 > 주문 확인,No,No,-,Mobile,2024-07-30
1009,2024-03-07,YouTube Ads,2024-07-03,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,네이버페이,Mobile,2024-07-30
1009,2024-03-07,Tistory Blog,2024-07-20,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,네이버페이,Mobile,2024-07-30
1009,2024-03-07,Naver Search,2024-07-29,홈 > 검색 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-30
1009,2024-03-07,Google Search,2024-07-30,홈 > 카테고리 > 제품 목록,No,No,-,Mobile,2024-07-30
1010,2024-01-14,Naver Search,2024-01-21,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Mobile,2024-07-27
1010,2024-01-14,Google Search,2024-02-18,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-27
1010,2024-01-14,YouTube Ads,2024-03-05,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Mobile,2024-07-27
1010,2024-01-14,Tistory Blog,2024-03-31,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-27
1010,2024-01-14,Facebook Ads,2024-07-24,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 주문 확인 > 결제,Yes,Yes,무통장 입금,Mobile,2024-07-27
1010,2024-01-14,KakaoTalk Ads,2024-07-27,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-27
1011,2024-02-07,KakaoTalk Ads,2024-02-09,홈 > 카테고리,Yes,No,-,Mobile,2024-07-28
1011,2024-02-07,Facebook Ads,2024-07-28,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 주문 확인 > 결제,Yes,Yes,신용카드,Mobile,2024-07-28
1012,2024-01-11,Google Search,2024-01-14,홈 > 카테고리 > 제품 목록 > 제품 상세 > 주문 확인,No,No,-,Desktop,2024-07-13
1012,2024-01-11,Facebook Ads,2024-01-16,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-13
1012,2024-01-11,Tistory Blog,2024-01-29,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-13
1012,2024-01-11,Google Search,2024-07-13,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,삼성페이,Mobile,2024-07-13
1013,2024-03-13,Naver Shopping,2024-03-16,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,무통장 입금,Mobile,2024-07-27
1013,2024-03-13,Naver Search,2024-04-03,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,삼성페이,Mobile,2024-07-27
1013,2024-03-13,KakaoTalk Ads,2024-07-27,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,삼성페이,Mobile,2024-07-27
1014,2024-01-18,Instagram Ads,2024-01-22,홈 > 카테고리 > 제품 목록,Yes,No,-,Mobile,2024-07-25
1014,2024-01-18,Naver Shopping,2024-01-31,홈 > 카테고리 > 제품 목록 > 제품 상세 > 주문 확인,No,No,-,Mobile,2024-07-25
1014,2024-01-18,Coupang Ads,2024-02-09,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 주문 확인 > 결제,Yes,Yes,신용카드,Desktop,2024-07-25
1014,2024-01-18,KakaoTalk Ads,2024-02-21,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 상품 상세 > 결제 > 주문 확인,No,Yes,무통장 입금,Desktop,2024-07-25
1014,2024-01-18,Instagram Ads,2024-07-05,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-25
1014,2024-01-18,Tistory Blog,2024-07-07,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 주문 확인 > 결제,Yes,Yes,네이버페이,Desktop,2024-07-25
1014,2024-01-18,Naver Search,2024-07-21,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,삼성페이,Mobile,2024-07-25
1014,2024-01-18,Coupang Ads,2024-07-25,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,신용카드,Mobile,2024-07-25
1015,2024-01-27,Google Search,2024-02-18,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-30
1015,2024-01-27,YouTube Ads,2024-07-30,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-30
1016,2024-01-23,Google Search,2024-01-24,홈 > 검색 > 제품 목록 > 제품 상세,Yes,No,-,Desktop,2024-07-13
1016,2024-01-23,Google Search,2024-02-19,홈 > 카테고리 > 제품 목록 > 제품 상세 > 상품 상세 > 결제 > 주문 확인,No,Yes,카카오페이,Mobile,2024-07-13
1016,2024-01-23,Facebook Ads,2024-03-20,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,카카오페이,Mobile,2024-07-13
1016,2024-01-23,KakaoTalk Ads,2024-03-23,홈 > 검색 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-13
1016,2024-01-23,Facebook Ads,2024-04-01,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Mobile,2024-07-13
1016,2024-01-23,YouTube Ads,2024-04-12,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-13
1016,2024-01-23,Naver Search,2024-05-12,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,토스,Mobile,2024-07-13
1016,2024-01-23,Instagram Ads,2024-07-13,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,무통장 입금,Mobile,2024-07-13
1017,2024-02-08,Naver Shopping,2024-02-18,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,카카오페이,Desktop,2024-07-20
1017,2024-02-08,Facebook Ads,2024-02-28,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 상품 상세 > 결제 > 주문 확인,No,Yes,네이버페이,Mobile,2024-07-20
1017,2024-02-08,Instagram Ads,2024-03-14,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-20
1017,2024-02-08,Google Search,2024-04-04,홈 > 검색 > 제품 상세 > 주문 확인,No,No,-,Mobile,2024-07-20
1017,2024-02-08,Google Search,2024-04-06,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰,No,No,-,Mobile,2024-07-20
1017,2024-02-08,Naver Search,2024-04-19,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-20
1017,2024-02-08,Naver Search,2024-04-27,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰,No,No,-,Mobile,2024-07-20
1017,2024-02-08,Coupang Ads,2024-05-23,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-20
1017,2024-02-08,Instagram Ads,2024-06-22,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니,Yes,No,-,Desktop,2024-07-20
1017,2024-02-08,Coupang Ads,2024-07-07,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,토스,Desktop,2024-07-20
1017,2024-02-08,Instagram Ads,2024-07-20,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-20
1018,2024-03-07,Facebook Ads,2024-03-28,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Mobile,2024-07-18
1018,2024-03-07,Coupang Ads,2024-07-18,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,무통장 입금,Tablet,2024-07-18
1019,2024-01-11,Facebook Ads,2024-01-16,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Mobile,2024-07-30
1019,2024-01-11,YouTube Ads,2024-01-30,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-30
1019,2024-01-11,Tistory Blog,2024-02-11,홈 > 검색 > 제품 상세 > 장바구니,Yes,No,-,Desktop,2024-07-30
1019,2024-01-11,Naver Shopping,2024-07-30,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,삼성페이,Mobile,2024-07-30
1020,2024-02-25,Naver Shopping,2024-02-26,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,신용카드,Mobile,2024-07-19
1020,2024-02-25,Google Search,2024-07-19,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-19
1021,2024-03-09,Tistory Blog,2024-04-08,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Mobile,2024-07-08
1021,2024-03-09,Tistory Blog,2024-07-08,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니,Yes,No,-,Mobile,2024-07-08
1022,2024-02-03,Instagram Ads,2024-02-14,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,신용카드,Mobile,2024-07-24
1022,2024-02-03,Facebook Ads,2024-07-19,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-24
1022,2024-02-03,Coupang Ads,2024-07-24,홈 > 카테고리,No,No,-,Mobile,2024-07-24
1023,2024-03-01,KakaoTalk Ads,2024-03-25,홈 > 카테고리 > 제품 목록 > 제품 상세,No,No,-,Tablet,2024-07-16
1023,2024-03-01,KakaoTalk Ads,2024-07-16,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰,No,No,-,Tablet,2024-07-16
1024,2024-02-01,Instagram Ads,2024-02-28,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,무통장 입금,Mobile,2024-07-09
1024,2024-02-01,Instagram Ads,2024-03-05,홈 > 카테고리 > 제품 목록,No,No,-,Mobile,2024-07-09
1024,2024-02-01,Google Search,2024-04-04,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Mobile,2024-07-09
1024,2024-02-01,Facebook Ads,2024-04-29,홈 > 검색 > 상품 상세 > 주문 확인 > 결제,Yes,Yes,삼성페이,Mobile,2024-07-09
1024,2024-02-01,Tistory Blog,2024-07-09,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,무통장 입금,Desktop,2024-07-09
1025,2024-03-23,Naver Shopping,2024-03-24,홈 > 카테고리,Yes,No,-,Mobile,2024-07-30
1025,2024-03-23,Instagram Ads,2024-04-17,홈 > 검색 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-30
1025,2024-03-23,Facebook Ads,2024-04-25,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-30
1025,2024-03-23,Instagram Ads,2024-05-23,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,네이버페이,Desktop,2024-07-30
1025,2024-03-23,Tistory Blog,2024-06-09,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-30
1025,2024-03-23,Facebook Ads,2024-06-10,홈 > 카테고리 > 제품 목록 > 제품 상세 > 주문 확인,No,No,-,Mobile,2024-07-30
1025,2024-03-23,Tistory Blog,2024-07-07,홈 > 검색 > 제품 목록,No,No,-,Desktop,2024-07-30
1025,2024-03-23,Tistory Blog,2024-07-30,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,카카오페이,Mobile,2024-07-30
1026,2024-03-08,Naver Search,2024-03-22,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,토스,Mobile,2024-07-15
1026,2024-03-08,Coupang Ads,2024-04-16,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Mobile,2024-07-15
1026,2024-03-08,KakaoTalk Ads,2024-04-20,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-15
1026,2024-03-08,KakaoTalk Ads,2024-07-09,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,무통장 입금,Mobile,2024-07-15
1026,2024-03-08,Facebook Ads,2024-07-15,홈 > 검색 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-15
1027,2024-03-11,Instagram Ads,2024-04-03,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Mobile,2024-07-22
1027,2024-03-11,YouTube Ads,2024-04-18,홈 > 검색 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-22
1027,2024-03-11,YouTube Ads,2024-05-07,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,무통장 입금,Mobile,2024-07-22
1027,2024-03-11,Instagram Ads,2024-06-02,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰,Yes,No,-,Tablet,2024-07-22
1027,2024-03-11,Google Search,2024-06-04,홈 > 카테고리 > 제품 목록,No,No,-,Mobile,2024-07-22
1027,2024-03-11,KakaoTalk Ads,2024-07-18,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰,No,No,-,Tablet,2024-07-22
1027,2024-03-11,YouTube Ads,2024-07-22,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,토스,Mobile,2024-07-22
1028,2024-01-10,Instagram Ads,2024-01-11,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Mobile,2024-07-26
1028,2024-01-10,Google Search,2024-01-26,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-26
1028,2024-01-10,Instagram Ads,2024-02-13,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,삼성페이,Desktop,2024-07-26
1028,2024-01-10,KakaoTalk Ads,2024-07-14,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,네이버페이,Mobile,2024-07-26
1028,2024-01-10,Naver Shopping,2024-07-23,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 주문 확인 > 결제,Yes,Yes,카카오페이,Mobile,2024-07-26
1028,2024-01-10,Tistory Blog,2024-07-26,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,삼성페이,Mobile,2024-07-26
1029,2024-02-29,Facebook Ads,2024-03-23,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니,Yes,No,-,Desktop,2024-07-30
1029,2024-02-29,Instagram Ads,2024-03-24,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-30
1029,2024-02-29,Tistory Blog,2024-04-18,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,카카오페이,Mobile,2024-07-30
1029,2024-02-29,Instagram Ads,2024-07-30,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,토스,Mobile,2024-07-30
1030,2024-03-01,Tistory Blog,2024-03-15,홈 > 검색 > 제품 상세 > 주문 확인,No,No,-,Mobile,2024-07-23
1030,2024-03-01,Coupang Ads,2024-03-28,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-23
1030,2024-03-01,Google Search,2024-07-10,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,무통장 입금,Mobile,2024-07-23
1030,2024-03-01,KakaoTalk Ads,2024-07-15,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-23
1030,2024-03-01,Google Search,2024-07-23,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-23
1031,2024-01-01,KakaoTalk Ads,2024-01-16,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-21
1031,2024-01-01,Google Search,2024-02-03,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 상품 상세 > 주문 확인 > 결제,Yes,Yes,삼성페이,Mobile,2024-07-21
1031,2024-01-01,Naver Search,2024-02-13,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-21
1031,2024-01-01,Tistory Blog,2024-02-18,홈 > 카테고리 > 제품 목록 > 제품 상세,No,No,-,Desktop,2024-07-21
1031,2024-01-01,Instagram Ads,2024-03-07,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-21
1031,2024-01-01,Instagram Ads,2024-04-04,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Mobile,2024-07-21
1031,2024-01-01,Naver Search,2024-07-21,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 주문 확인,Yes,No,-,Desktop,2024-07-21
1032,2024-03-15,Facebook Ads,2024-04-12,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-20
1032,2024-03-15,Google Search,2024-07-05,홈 > 검색 > 제품 상세,No,No,-,Desktop,2024-07-20
1032,2024-03-15,Naver Shopping,2024-07-20,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,신용카드,Mobile,2024-07-20
1033,2024-03-30,YouTube Ads,2024-04-18,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Desktop,2024-07-28
1033,2024-03-30,Facebook Ads,2024-05-10,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 상품 상세 > 결제 > 주문 확인,No,Yes,토스,Tablet,2024-07-28
1033,2024-03-30,Instagram Ads,2024-07-12,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,카카오페이,Mobile,2024-07-28
1033,2024-03-30,KakaoTalk Ads,2024-07-28,홈 > 검색 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,신용카드,Tablet,2024-07-28
1034,2024-02-26,Instagram Ads,2024-03-14,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-30
1034,2024-02-26,Facebook Ads,2024-04-06,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 주문 확인,Yes,No,-,Mobile,2024-07-30
1034,2024-02-26,Naver Search,2024-07-30,홈 > 검색 > 제품 목록 > 제품 상세 > 리뷰 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,네이버페이,Desktop,2024-07-30
1035,2024-03-03,Naver Search,2024-03-05,홈 > 카테고리 > 제품 목록 > 제품 상세 > 주문 확인,No,No,-,Mobile,2024-07-13
1035,2024-03-03,Facebook Ads,2024-03-09,홈 > 카테고리 > 제품 목록 > 제품 상세 > 장바구니 > 상품 상세 > 결제 > 주문 확인,Yes,Yes,카카오페이,Mobile,2024-07-13
1035,2024-03-03,YouTube Ads,2024-03-17,홈 > 카테고리 > 제품 목록 > 제품 상세 > 리뷰 > 주문 확인,No,No,-,Mobile,2024-07-13
1035,2024-03-03,Tistory Blog,2024-03-25,홈 > 카테고리 > 제품 목록,Yes,No,-,Mobile,2024-07-13
1035,2024-03-03,Facebook Ads,2024-07-13,홈 > 검색 > 제품 상세,No,No,-,Desktop,2024-07-13
